artist_id,name,stage,startdate,enddate
0,(Future) Festival Classics ,Heineken,2023-08-18T23:00:00+02:00,2023-08-19T01:00:00+02:00
1,¥///0 $#£[[ ,India,2023-08-18T21:55:00+02:00,2023-08-18T22:55:00+02:00
2,070 Shake ,India,2023-08-19T19:00:00+02:00,2023-08-19T20:00:00+02:00
3,155 & Maas Theater En Dans: Controle ,Juliet,2023-08-19T17:00:00+02:00,2023-08-19T18:00:00+02:00
4,Abel Van Gijlswijk: Aabz ’23 Tour – Rebranding Anarchisme ,Juliet,2023-08-18T17:00:00+02:00,2023-08-18T18:00:00+02:00
5,Adf Family ,Heineken,2023-08-19T21:45:00+02:00,2023-08-19T22:30:00+02:00
6,Adonis ,Adonis,2023-08-18T20:00:00+02:00,2023-08-19T03:00:00+02:00
7,Aftersun ,Echo,2023-08-18T17:00:00+02:00,2023-08-18T18:45:00+02:00
8,Ajuma ,Hacienda,2023-08-20T16:30:00+02:00,2023-08-20T18:30:00+02:00
9,Alborosie ,Heineken,2023-08-20T11:00:00+02:00,2023-08-20T12:00:00+02:00
10,Alewya ,X-Ray,2023-08-18T17:45:00+02:00,2023-08-18T18:45:00+02:00
11,Alleen Maar Winnaars ,Adonis,2023-08-18T08:30:00+02:00,2023-08-18T09:15:00+02:00
12,Alogte Oho & His Sounds Of Joy ,Lima,2023-08-20T16:00:00+02:00,2023-08-20T17:00:00+02:00
13,Amber Arcades ,India,2023-08-19T11:15:00+02:00,2023-08-19T12:15:00+02:00
14,Amyl And the Sniffers ,Heineken,2023-08-18T20:00:00+02:00,2023-08-18T21:00:00+02:00
15,Arjen Lubach ,Juliet,2023-08-19T20:45:00+02:00,2023-08-19T21:45:00+02:00
16,Ask Me Anything: Erik Groenendijk ,Echo,2023-08-18T11:20:00+02:00,2023-08-18T11:50:00+02:00
17,Ask Me Anything: Jayliah Jada Van Gorkum ,Echo,2023-08-20T11:20:00+02:00,2023-08-20T11:50:00+02:00
18,Ask Me Anything: Kauthar Bouchallikht ,Echo,2023-08-19T11:20:00+02:00,2023-08-19T11:50:00+02:00
19,Asteroid City ,Echo,2023-08-19T21:00:00+02:00,2023-08-19T22:45:00+02:00
20,AVALON EMERSON & THE CHARM,X-Ray,2023-08-19T16:30:00+02:00,2023-08-19T17:30:00+02:00
21,Avalon Emerson Dj Set ,Bravo,2023-08-19T23:00:00+02:00,2023-08-20T01:00:00+02:00
22,Aya,X-Ray,2023-08-19T21:00:00+02:00,2023-08-19T22:30:00+02:00
23,Badum Oneliners Live ,Juliet,2023-08-18T22:30:00+02:00,2023-08-18T23:30:00+02:00
24,Bakar ,India,2023-08-19T13:15:00+02:00,2023-08-19T14:15:00+02:00
25,Bambii ,India,2023-08-18T23:00:00+02:00,2023-08-19T00:00:00+02:00
26,Beartooth ,India,2023-08-18T17:00:00+02:00,2023-08-18T18:00:00+02:00
27,Beatenberg ,Lima,2023-08-20T14:00:00+02:00,2023-08-20T15:00:00+02:00
28,Bella ,Bravo,2023-08-18T21:00:00+02:00,2023-08-18T22:30:00+02:00
29,Beraber ,Hacienda,2023-08-19T16:30:00+02:00,2023-08-19T18:30:00+02:00
30,Bibi Seck ,India,2023-08-19T23:00:00+02:00,2023-08-20T00:30:00+02:00
31,Bicep,Alpha,2023-08-18T16:00:00+02:00,2023-08-18T17:15:00+02:00
32,Billie Eilish ,Alpha,2023-08-20T19:45:00+02:00,2023-08-20T21:00:00+02:00
33,Black Cadmium ,Bravo,2023-08-20T21:00:00+02:00,2023-08-20T22:15:00+02:00
34,Black Sun Empire ,India,2023-08-21T00:00:00+02:00,2023-08-21T01:30:00+02:00
35,Bob Koomen ,Adonis,2023-08-20T15:30:00+02:00,2023-08-20T16:00:00+02:00
36,Bolis Pupul ,X-Ray,2023-08-19T18:25:00+02:00,2023-08-19T19:05:00+02:00
37,Bollywood Dansworkshop Door Pretima Ke Dewashrie,Heineken,2023-08-19T09:30:00+02:00,2023-08-19T10:30:00+02:00
38,Bombay Bicycle Club ,Alpha,2023-08-20T13:40:00+02:00,2023-08-20T14:40:00+02:00
39,Bombino ,Lima,2023-08-19T16:30:00+02:00,2023-08-19T17:30:00+02:00
40,"Boyband, de Literaire Boyband",Adonis,2023-08-18T11:30:00+02:00,2023-08-18T12:15:00+02:00
41,Boygenius ,Bravo,2023-08-19T13:00:00+02:00,2023-08-19T14:00:00+02:00
42,Bubliczki ,Lima,2023-08-19T20:45:00+02:00,2023-08-19T21:45:00+02:00
43,Buitenmensen ,Adonis,2023-08-18T10:00:00+02:00,2023-08-18T10:45:00+02:00
44,Céline Schrama ,Adonis,2023-08-20T16:30:00+02:00,2023-08-20T17:00:00+02:00
45,Chamos ,Hacienda,2023-08-20T23:30:00+02:00,2023-08-21T01:00:00+02:00
46,Charlotte de Witte ,Alpha,2023-08-19T20:45:00+02:00,2023-08-19T22:00:00+02:00
47,Charmaine ,Hacienda,2023-08-18T16:30:00+02:00,2023-08-18T18:30:00+02:00
48,Cherise ,Lima,2023-08-19T10:45:00+02:00,2023-08-19T11:30:00+02:00
